Date,Rank,Brand,Product Name,Price,Tags
2026-01-13 11:33:44,83,메디큐브,[1월 올영픽/화잘먹푸딩크림] 메디큐브 PDRN 핑크 히알루로닉 수분크림 50ml 더블기획 (+앰플10ml),"25,000","세일, 오늘드림"
2026-01-13 11:33:44,84,아비브,[차은우PICK] 아비브 어성초 테카 캡슐 세럼 카밍드롭 50+20ml 기획,"32,000",오늘드림
2026-01-13 11:33:44,85,라로슈포제,라로슈포제 시카플라스트 밤B5+ 40ml,"27,000",오늘드림
2026-01-13 11:33:44,86,바이오더마,바이오더마 시카비오 크림+ 40ml(딥 리페어 크림),"22,400","세일, 오늘드림"
2026-01-13 11:33:44,87,VT,[모공에센스] VT 리들샷 100 에센스 30ml 더블 기획(+피디알엔 에센스 100 1.5ml*3ea),"22,000","세일, 오늘드림"
2026-01-13 11:33:44,88,마미케어,[1등홈경락템/3천원페이백]마미케어 EMS브이쎄라(3 COLOR)(+시너지젤증정),"99,000",쿠폰
2026-01-13 11:33:44,89,피지오겔,[1월 올영픽] 피지오겔 DMT포맨 증정 기획세트 2종 한정기획 (플루이드 or 크림),"27,900","세일, 쿠폰, 증정, 오늘드림"
2026-01-13 11:33:44,90,넘버즈인,[수분진정] 넘버즈인 1번 판토텐산 액티브업 수딩세럼 50ml 리필기획 (50ml+50ml),"24,000","세일, 오늘드림"
2026-01-13 11:33:44,91,VT,[모공흡수] VT 리들샷 300 에센스 30ml 기획 (+리들샷 300 파우치 1ml*3ea),"16,800","세일, 쿠폰, 오늘드림"
2026-01-13 11:33:44,92,메디힐,[패드증정/단독] 메디힐 마데카소사이드 흔적 리페어 더마 크림 50ml 기획 (+마데카소사이드 패드 2매*3개),"16,400","세일, 쿠폰, 증정, 오늘드림"
2026-01-13 11:33:44,93,차앤박,[광채크림/NEW대용량] 차앤박 프로폴리스 앰플 액티브 샷 크림 75ml 2입,"26,900","세일, 오늘드림"
2026-01-13 11:33:44,94,파넬,[1등 진정세럼] 파넬 시카마누 92세럼 30ml 리필기획(+30ml 리필+15ml),"29,400","쿠폰, 오늘드림"
2026-01-13 11:33:44,95,피캄,[수분광/리뷰이벤트] 피캄 PDRN 카페인 블루캡슐 11 세럼 30ml,"20,900","세일, 오늘드림"
2026-01-13 11:33:44,96,리얼베리어,[손상피부/장벽회복] 리얼베리어 익스트림 크림 70ml 기획 (+30ml),"28,500","세일, 오늘드림"
2026-01-13 11:33:44,97,닥터자르트,[한정기획/강력진정크림] 닥터자르트 시카페어 인텐시브 수딩 리페어 크림 50ml 1+1 기획,"39,900","세일, 오늘드림"
2026-01-13 11:33:44,98,오드로이,[화잘먹크림] 오드로이 모공수축크림 로프디 모공면적 100ml 더블기획 (+미스트앰플 30ml),"36,800","세일, 오늘드림"
2026-01-13 11:33:44,99,아이오페,[1월 올영픽/10년 연속 1위] 아이오페 맨 올데이 퍼펙트 올인원 120ml 기획 (+30ml),"22,800","세일, 쿠폰, 증정, 오늘드림"
2026-01-13 11:33:44,100,AHC,[판매량 1억개 돌파/대용량] AHC 텐 레볼루션 리얼 아이크림 포 페이스 더블 기획,"26,500","세일, 오늘드림"
